epoch,step,w0,w1,loss
1,1,9.400000000003729,3.080000000022949,228.68926400007356
1,2,8.498400000004892,2.8996800000281553,185.97724845552568
1,3,7.606553600006606,3.0780492800214176,147.1346836030462
1,4,7.099800704008054,3.3314257280202497,127.51092920366047
1,5,6.622963206410638,3.808263225617665,111.88380096265276
1,6,6.431906369612651,4.094848480816311,107.04611450692019
2,1,5.397333914955883,2.853361535217531,72.83615451478155
2,2,4.900533292757071,2.7540014107774136,59.87549316231191
2,3,4.365559991697733,2.8609960709899918,47.938125577451416
2,4,4.172053796077869,2.9577491688007562,44.31658522415544
2,5,3.9506233333506016,3.1791796315289123,41.138722927838664
2,6,3.932437944744839,3.2064577144375943,40.958645420713786
3,1,3.25441922453661,2.3928352501859433,26.513814237270196
3,2,2.9811205970785473,2.338175524694153,22.419450973367415
3,3,2.6297720478639555,2.4084452345375156,18.235635908862292
3,4,2.5872171048043455,2.429722706067324,17.836795634441778
3,5,2.4714676649303766,2.545472145941293,17.100229148650914
3,6,2.506141720328606,2.4934610628438705,17.22318256569806
4,1,2.0563122207532123,1.953665663352865,11.001031523365155
4,2,1.9116076854105577,1.9247247562845784,9.709408283104606
4,3,1.6589414119953103,1.9752580109679831,8.040150787859663
4,4,1.6918101713441738,1.9588236312935496,8.200620903479125
4,5,1.6185115173391298,2.032122285298594,7.987972051930204
4,6,1.6614787083999962,1.9676714987072388,8.031322487974066
5,1,1.3592102577142908,1.6049493578854581,5.303320078865947
5,2,1.2911902447851589,1.5913453552996235,4.930434087664296
5,3,1.0938981274127537,1.630803778774149,4.183263598091568
5,4,1.166048503610181,1.5947285906754491,4.374158603177783
5,5,1.108916512316715,1.651860581968915,4.29408843255447
5,6,1.145803948380372,1.5965294278733813,4.2960912214399025
6,1,0.9396400221975933,1.3491327164535585,3.078633269948461
6,2,0.918693365648765,1.344943385143789,3.0064037967524087
6,3,0.7537228967867737,1.3779374789162318,2.6400365970269233
6,4,0.8472474810538921,1.3311751867826587,2.778940245665105
6,5,0.7956402516267669,1.382782416209784,2.740097200983305
6,6,0.8234935888955575,1.3410024103065739,2.732765533871456
7,1,0.6802239407695032,1.1690788325550423,2.178537037586318
7,2,0.6888199700414511,1.1707980384094339,2.1975293869004373
7,3,0.5433539338054539,1.1998912456566333,2.0062987700650425
7,4,0.6490131027077152,1.1470616612055027,2.096741197259081
7,5,0.5988179585575066,1.1972568053557113,2.0730282498045525
7,6,0.6185246835051116,1.1676967179342839,2.0663857494863955
8,1,0.5165486090025372,1.0453254285310503,1.8080555221121315
8,2,0.5439872395316603,1.0508131546368804,1.8474696863233684
8,3,0.4106047786712397,1.0774896468091866,1.7445354948246266
8,4,0.5234187831445669,1.0210826445726062,1.8009377589111635
8,5,0.473185169287369,1.0713162584298042,1.783271844959349
8,6,0.4865640911231014,1.0512478756761907,1.7788989122102006
9,1,0.411757936929655,0.961480490643944,1.6550453098104934
9,2,0.45135253342380466,0.9693994099427643,1.692481261404757
9,3,0.325605268280277,0.994548862971492,1.6374957131791212
9,4,0.44277218460079837,0.9359654048110926,1.6715495703484096
9,5,0.39209150662183634,0.9866460827900546,1.6563522989033614
9,6,0.40087926837815985,0.9734644401555596,1.65376436705604
10,1,0.3439756087216806,0.9051800485677817,1.5924325485826372
10,2,0.39147444687815536,0.9146798161990628,1.622340901214691
10,3,0.27062059851429987,0.9388505858717118,1.5949297231522221
10,4,0.3905010679564128,0.8789103511504888,1.6145415601638395
10,5,0.33934199627582573,0.9300694228310759,1.60033126233021
10,6,0.34491821007290385,0.9217051021354585,1.5988703151628765
11,1,0.2998217768093663,0.8675893822192482,1.5674430290561725
11,2,0.35248781148403896,0.8781225891541966,1.589811330154129
11,3,0.23480148211872043,0.9016598550272603,1.578945943689202
11,4,0.35640432665821276,0.8408584327573754,1.5892254127677061
11,5,0.30484973726812514,0.892413022147463,1.5753863468680185
11,6,0.3082267168634317,0.8873475527545032,1.574590391067149
12,1,0.2709223388465551,0.8425822991341957,1.55796837964511
12,2,0.3269784589792077,0.8537935231607401,1.574276375929424
12,3,0.21135648354452002,0.8769179182476887,1.5736465048259018
12,4,0.3340667311024645,0.815562794468772,1.577869474259825
12,5,0.2822163374391065,0.86741318813213,1.5641521484284322
12,6,0.28410668191501515,0.864577671418267,1.5637433950352326
13,1,0.2519466931533242,0.825985684904267,1.5547484941744154
13,2,0.31023231013990227,0.8376428083015577,1.566593335085266
13,3,0.1959619352919444,0.8604968832711604,1.5724318824282564
13,4,0.3193905859263051,0.7987825579540078,1.5727057708956442
13,5,0.26732978312908096,0.8508433607512319,1.55901455772896
13,6,0.26822330892885754,0.849503072051566,1.5588336543538477
